全国地方公共団体コード,都道府県,市区町村,収録状況,障害者_要介護度の下限,障害者_認知症度の下限,障害者_寝たきり度の下限,特別障害者_要介護度の下限,特別障害者_認知症度の下限,特別障害者_寝たきり度の下限,根拠（例規名など）,公布日,最終改正日,出典URL,データ読み取り日
032069,岩手県,北上市,表が読めない,,,,,,,北上市要介護認定者等の障害者控除対象者認定規則,2010-12-09,2022-08-29,https://www1.g-reiki.net/kitakami/reiki_honbun/c107RG00000977.html,2026-08-27
032085,岩手県,遠野市,基準表が本文に無い,,,,,,,遠野市専決代決規程,2005-10-01,2026-03-31,https://www1.g-reiki.net/tono/reiki_honbun/r212RG00000062.html,2026-08-27
032115,岩手県,釜石市,基準表が本文に無い,,,,,,,釜石市事務決裁規程,1964-04-30,2025-03-11,https://www1.g-reiki.net/kamaishi/reiki_honbun/z300RG00000055.html,2026-08-27
033022,岩手県,葛巻町,読めた(本文の文章から),要介護1,Ⅱa,A1,要介護4,Ⅳ,A1,障害者控除対象者認定に関する要綱,2006-12-25,2006-12-25,https://en3-jg.d1-law.com/kuzumaki/d1w_reiki/H418902500077/H418902500077_j.html,2026-08-27
033031,岩手県,岩手町,読めた,,Ⅱa,A1,,Ⅲa,,岩手町障害者控除対象者認定要綱,2010-01-01,2020-12-17,https://www.town.iwate.iwate.jp/reiki/reiki_honbun/c117RG00000698.html,2026-08-27
033219,岩手県,紫波町,読めた,要介護1,Ⅱa,A1,要介護3,Ⅳ,C1,紫波町障害者控除対象者認定要綱,2002-04-01,2024-10-10,https://www1.g-reiki.net/town.shiwa.iwate/reiki_honbun/c122RG00000374.html,2026-08-27
034851,岩手県,普代村,読めた,,,A1,,,B1,障害者控除対象者認定書交付に関する要綱,2013-01-16,2013-01-16,https://en3-jg.d1-law.com/fudai/d1w_reiki/H425902500012/H425902500012_j.html,2026-08-27
035033,岩手県,野田村,読めた,,,A1,,,B1,障害者控除対象者認定書交付に関する要綱,2010-12-16,2016-02-29,https://www1.g-reiki.net/vill.noda.iwate/reiki_honbun/c154RG00000412.html,2026-08-27
035068,岩手県,九戸村,読めた,,,A1,,,B1,九戸村障害者控除対象者認定実施要綱,2022-02-28,2022-02-28,http://www.vill.kunohe.iwate.jp/reiki_int/reiki_honbun/c157RG00000657.html,2026-08-27
035076,岩手県,洋野町,読めた,,,A1,,,B1,洋野町障害者控除対象者認定書交付に関する要綱,2007-05-28,2016-04-01,https://en3-jg.d1-law.com/hirono-iwate/d1w_reiki/H419902500038/H419902500038_j.html,2026-08-27
041009,宮城県,仙台市,判定ランクを公表していない,,,,,,,,,,https://www.city.sendai.jp/hokatsushien/download/bunyabetsu/kore/kore/shogaisha.html,2026-08-27
042064,宮城県,白石市,読めた,,Ⅱa,A1,,Ⅳ,,白石市障害者控除対象者認定要綱,2025-12-28,2025-12-28,https://www.city.shiroishi.miyagi.jp/reiki/reiki_honbun/c207RG00001481.html,2026-08-27
042072,宮城県,名取市,読めた(本文の文章から),要介護1,,,要介護3,,,名取市障害者控除対象者認定実施要綱,2025-03-21,2025-03-21,https://www1.g-reiki.net/city.natori.miyagi/reiki_honbun/c208RG00001131.html,2026-08-27
042145,宮城県,東松島市,読めた,,Ⅱa,A1,,Ⅳ,,東松島市障害者控除対象者認定に関する要領,2006-12-01,2024-02-13,http://www.city.higashimatsushima.miyagi.jp/reiki/reiki_honbun/r122RG00000686.html,2026-08-27
042153,宮城県,大崎市,読めた,,Ⅱa,A1,,,B1,大崎市障害者控除対象者認定要綱,2009-09-10,2023-03-31,https://www.city.osaki.miyagi.jp/section/reiki/reiki_honbun/r294RG00001381.html,2026-08-27
043222,宮城県,村田町,基準表が本文に無い,,,,,,,村田町高齢者の障害者及び特別障害者の認定に関する事務取扱要綱,2002-11-21,2002-11-21,http://www.town.murata.miyagi.jp/cyosei/on-line/reiki_int/reiki_honbun/c215RG00000518.html,2026-08-27
044229,宮城県,大郷町,読めた,要介護1,,,要介護3,,,寝たきり等高齢者に関する障害者控除対象者認定要綱,2003-02-01,2022-12-26,https://www1.g-reiki.net/osato/reiki_honbun/c225RG00000695.html,2026-08-27
044245,宮城県,大衡村,読めた(本文の文章から),,Ⅰ,A1,,,,大衡村寝たきり等高齢者に関する障害者控除対象者認定要領,2004-03-01,2016-03-30,https://www1.g-reiki.net/village.ohira/reiki_honbun/c227RG00000509.html,2026-08-27
044440,宮城県,色麻町,読めた,,Ⅱa,A1,,,,色麻町障害者控除対象者認定実施要綱,2004-10-29,2019-12-12,https://public.joureikun.jp/shikama_town/reiki/act/110000249.html,2026-08-27
044458,宮城県,加美町,読めた(本文の文章から),要介護1,,,要介護3,,,加美町障害者控除対象者認定実施要綱,2005-12-01,2016-03-30,https://www.town.kami.miyagi.jp/section/reiki_int/reiki_honbun/r004RG00000602.html,2026-08-27
045055,宮城県,美里町,読めた,,Ⅱa,A1,,,B1,美里町障害者控除対象者認定に関する要綱,2018-12-17,2022-12-13,https://www1.g-reiki.net/town.misato.miyagi/reiki_honbun/r272RG00001036.html,2026-08-27
045811,宮城県,女川町,読めた,,Ⅱa,A1,,Ⅳ,,女川町ねたきり等高齢者に関する障害者控除対象者認定要領,2003-12-15,2016-03-22,https://en3-jg.d1-law.com/onagawa/d1w_reiki/H415902210031/H415902210031_j.html,2026-08-27
046060,宮城県,南三陸町,読めた,要支援2,Ⅱa,J1,要介護2,Ⅲa,B1,南三陸町高齢者に関する障害者控除対象者認定事務取扱要領,2015-12-25,2016-11-25,https://www.town.minamisanriku.miyagi.jp/section/reiki_int/reiki_honbun/r231RG00000851.html,2026-08-27
052124,秋田県,大仙市,読めた,,Ⅱa,A1,,Ⅳ,C1,大仙市障害者控除対象者の認定に関する規則,2007-12-01,2019-04-01,https://www.city.daisen.lg.jp/reiki/reiki_honbun/r154RG00001404.html,2026-08-27
052159,秋田県,仙北市,読めた,,Ⅱa,A1,,Ⅳ,,仙北市障害者控除対象者認定書交付に関する要綱,2007-11-29,2007-11-29,https://www.city.semboku.akita.jp/reiki/H419902500083/H419902500083_j.html,2026-08-27
053465,秋田県,藤里町,読めた,,Ⅱa,A1,,Ⅲa,,藤里町障害者控除対象者認定要領,2019-02-01,2019-02-01,https://www1.g-reiki.net/town.fujisato.akita/reiki_honbun/c324RG00000476.html,2026-08-27
