全国地方公共団体コード,都道府県,市区町村,収録状況,障害者_要介護度の下限,障害者_認知症度の下限,障害者_寝たきり度の下限,特別障害者_要介護度の下限,特別障害者_認知症度の下限,特別障害者_寝たきり度の下限,根拠（例規名など）,公布日,最終改正日,出典URL,データ読み取り日
082295,茨城県,稲敷市,基準表が本文に無い,,,,,,,稲敷市障害者控除対象者認定事務の処理に関する要綱,2005-03-22,2022-03-29,https://www.city.inashiki.lg.jp/reiki_int/reiki_honbun/r168RG00000156.html,2026-08-27
082317,茨城県,桜川市,読めた(別表から),,,,,Ⅰ,J1,桜川市障害者控除対象者認定事務取扱要領,2006-11-29,2022-03-29,https://www.city.sakuragawa.lg.jp/gyousei/reiki_int/reiki_honbun/r211RG00000603.html,2026-08-27
082325,茨城県,神栖市,基準表が本文に無い,,,,,,,神栖市障害者控除対象者認定書交付に関する要項,2003-02-14,2020-12-16,https://www1.g-reiki.net/city.kamisu/reiki_honbun/r216RG00000327.html,2026-08-27
082333,茨城県,行方市,読めた,要介護1,Ⅱa,,要介護4,Ⅲa,,行方市要介護認定者等の所得税法上の障害者控除に関する事務取扱要綱,2007-03-01,2025-02-25,https://www.city.namegata.ibaraki.jp/gyousei/reiki/reiki_int/reiki_honbun/r228RG00000682.html,2026-08-27
082341,茨城県,鉾田市,読めた,,Ⅰ,J1,,,,鉾田市障害者控除対象者認定事務の処理に関する要綱,2008-12-26,2008-12-26,http://www.city.hokota.lg.jp/reiki_int/reiki_honbun/r229RG00000789.html,2026-08-27
082350,茨城県,つくばみらい市,読めた,,,A1,,,B1,つくばみらい市障害者控除対象者認定実施要綱,2006-03-27,2016-03-31,https://www.city.tsukubamirai.lg.jp/reiki_int/reiki_honbun/r339RG00000246.html,2026-08-27
082368,茨城県,小美玉市,表が読めない,,,,,,,小美玉市障害者控除対象者の認定に関する要綱,2006-03-27,2023-06-08,https://www.city.omitama.lg.jp/reiki_int/reiki_honbun/r357RG00000393.html,2026-08-27
083020,茨城県,茨城町,表が読めない,,,,,,,茨城町障害者控除対象者認定書交付に関する要綱,2002-12-11,2023-03-23,https://www.town.ibaraki.lg.jp/reiki_int/reiki_honbun/e022RG00000446.html,2026-08-27
083097,茨城県,大洗町,表が読めない,,,,,,,大洗町障害者控除対象者認定書交付に関する要綱,2003-04-30,2021-03-30,https://www1.g-reiki.net/town.oarai/reiki_honbun/e029RG00000429.html,2026-08-27
083411,茨城県,東海村,読めた(本文の文章から),,Ⅰ,,,,,東海村障害者控除対象者認定実施要綱,2002-12-03,2024-07-30,https://www1.g-reiki.net/tokai/reiki_honbun/e034RG00000639.html,2026-08-27
084433,茨城県,阿見町,基準表が本文に無い,,,,,,,阿見町障害者控除対象者認定規則,2010-03-19,2025-03-28,https://www1.g-reiki.net/town.ami/reiki_honbun/e058RG00000375.html,2026-08-27
084476,茨城県,河内町,基準表が本文に無い,,,,,,,河内町障害者控除対象者認定事務の処理に関する要綱,2002-11-15,2020-11-13,https://www1.g-reiki.net/town.ibaraki-kawachi/reiki_honbun/e061RG00000731.html,2026-08-27
085219,茨城県,八千代町,読めた,,Ⅰ,J1,,Ⅲa,B1,八千代町障害者控除対象者認定書交付に関する要綱,2007-06-15,2007-06-15,https://en3-jg.d1-law.com/yachiyo/d1w_reiki/H419902200015/H419902200015_j.html,2026-08-27
085421,茨城県,五霞町,読めた,,Ⅱa,J1,,,,五霞町障害者控除対象者認定書交付に関する要綱,2003-01-20,2022-03-25,https://www1.g-reiki.net/goka/reiki_honbun/e080RG00000292.html,2026-08-27
085464,茨城県,境町,読めた,,Ⅰ,J1,,Ⅲa,B1,境町障害者控除対象者認定書交付に関する要綱,2003-01-17,2003-01-17,https://en3-jg.d1-law.com/sakai/d1w_reiki/H415902500002/H415902500002_j.html,2026-08-27
085642,茨城県,利根町,読めた,,,,,Ⅲa,B1,利根町障害者控除対象者認定事務の処理に関する要綱,2002-10-31,2023-03-31,http://www.town.tone.ibaraki.jp/gyousei/reiki_int/reiki_honbun/e086RG00000431.html,2026-08-27
092142,栃木県,さくら市,読めた,,,J1,,,B1,さくら市障害者控除対象者認定実施要綱,2007-09-01,2013-01-16,https://en3-jg.d1-law.com/sakura-tochigi/d1w_reiki/H419902500098/H419902500098_j.html,2026-08-27
092169,栃木県,下野市,読めた(本文の文章から),,Ⅱa,A1,,Ⅳ,,下野市要介護認定者等に係る障害者控除対象者認定取扱要綱,2009-12-28,2026-01-16,https://www.city.shimotsuke.lg.jp/statics/reiki_int/reiki_honbun/r295RG00000993.html,2026-08-27
093017,栃木県,上三川町,読めた,,Ⅱa,A1,,Ⅲa,,上三川町障がい者控除対象者認定事務取扱要綱,2007-12-27,2019-12-27,https://www.town.kaminokawa.lg.jp/reiki_int/reiki_honbun/e114RG00000657.html,2026-08-27
093424,栃木県,益子町,読めた,,Ⅱa,A1,,,B1,益子町障害者控除対象者認定書交付要綱,2019-09-24,2019-09-24,http://www.town.mashiko.tochigi.jp/reiki_int/reiki_honbun/e122RG00000797.html,2026-08-27
093441,栃木県,市貝町,読めた,,Ⅱa,A1,,,B1,市貝町障害者控除対象者認定書交付要綱,2014-11-21,2025-02-28,https://www.town.ichikai.tochigi.jp/div/admin/htm/reiki/reiki_honbun/e124RG00000666.html,2026-08-27
093459,栃木県,芳賀町,読めた,,Ⅱa,A1,,,B1,芳賀町障害者控除対象者認定事務取扱要綱,2015-02-23,2015-02-23,https://en3-jg.d1-law.com/haga/d1w_reiki/H427902500026/H427902500026_j.html,2026-08-27
093645,栃木県,野木町,読めた,,Ⅰ,J1,,,,野木町障がい者控除対象者認定要綱,2008-01-04,2026-02-03,https://en3-jg.d1-law.com/nogi/d1w_reiki/H420902500001/H420902500001_j.html,2026-08-27
093866,栃木県,高根沢町,読めた,,Ⅱa,A1,,,B1,高根沢町障害者控除対象者認定書交付要綱,2013-01-18,2016-01-29,https://www1.g-reiki.net/town.takanezawa/reiki_honbun/e138RG00000860.html,2026-08-27
094111,栃木県,那珂川町,読めた(別表から),要介護1,Ⅰ,J1,,,,那珂川町要介護認定者障害者控除取扱要綱,2005-10-01,2025-01-20,https://www1.g-reiki.net/nakagawa/reiki_honbun/r215RG00000310.html,2026-08-27
102032,群馬県,桐生市,読めた,,Ⅱa,A1,,,,桐生市要介護認定者の障害者控除対象者の認定に関する要領,2002-10-01,2002-10-01,https://www1.g-reiki.net/city.kiryu/reiki_honbun/e204RG00001092.html,2026-08-27
102091,群馬県,藤岡市,読めた,,Ⅱa,A1,,Ⅲa,,藤岡市障害者控除対象者認定要綱,2007-10-15,2023-09-29,https://www1.g-reiki.net/fujioka/reiki_honbun/e210RG00000984.html,2026-08-27
103454,群馬県,吉岡町,読めた,,Ⅱa,A1,,Ⅲa,B1,吉岡町高齢者の障害者控除対象者認定書交付に関する要綱,2008-12-01,2020-11-30,https://www1.g-reiki.net/yoshioka/reiki_honbun/e230RG00000548.html,2026-08-27
103667,群馬県,上野村,読めた,,Ⅲa,B1,,Ⅳ,,上野村障害者控除対象者認定要綱,2010-12-01,2010-12-01,https://www1.g-reiki.net/uenomura/reiki_honbun/e236RG00000382.html,2026-08-27
103675,群馬県,神流町,読めた,,Ⅲa,B1,,Ⅳ,,神流町障害者控除対象者認定要綱,2009-12-18,2026-03-12,https://www1.g-reiki.net/kanna/reiki_honbun/r008RG00000568.html,2026-08-27
103829,群馬県,下仁田町,読めた,要介護1,Ⅱa,A1,要介護4,Ⅳ,,下仁田町障害者控除対象者認定に関する取扱要綱,2014-01-10,2014-01-10,https://www.town.shimonita.lg.jp/html/reiki_int/reiki_honbun/e238RG00000753.html,2026-08-27
103845,群馬県,甘楽町,読めた(本文の文章から),要介護1,Ⅱa,A1,要介護4,Ⅳ,A1,甘楽町障害者控除対象者認定に関する取扱要綱,2010-12-15,2011-02-25,https://www1.g-reiki.net/kanra/reiki_honbun/e240RG00000625.html,2026-08-27
104256,群馬県,嬬恋村,読めた,,,A1,,,B1,障害者控除対象者認定書交付に関する要綱,2007-03-01,2007-03-01,https://www.vill.tsumagoi.gunma.jp/reiki_int/reiki_honbun/e246RG00000436.html,2026-08-27
104281,群馬県,高山村,基準表が本文に無い,,,,,,,高山村介護保険事務取扱要領,2009-12-14,2023-09-15,https://www1.g-reiki.net/takayama/reiki_honbun/e249RG00000556.html,2026-08-27
104434,群馬県,片品村,読めた,,Ⅱa,A1,,Ⅲa,B1,片品村障害者控除対象者認定事務取扱要綱,2011-02-25,2023-02-22,http://www.vill.katashina.gunma.jp/reiki/H423902600001/H423902600001_j.html,2026-08-27
104485,群馬県,昭和村,読めた,要介護1,,A1,要介護1,Ⅲa,B1,昭和村障害者控除対象者認定事務取扱要領,2007-03-23,2022-03-17,https://www1.g-reiki.net/gunma-showa/reiki_honbun/e257RG00000465.html,2026-08-27
105210,群馬県,板倉町,読めた,,,B1,,,B1,板倉町障害者控除対象者認定要綱,2004-12-20,2024-03-26,https://www1.g-reiki.net/town.itakura.gunma/reiki_honbun/e267RG00000418.html,2026-08-27
105236,群馬県,千代田町,読めた,,,B1,,Ⅲa,,千代田町要介護認定者の障害者控除対象者認定事務処理要綱,2004-12-01,2004-12-01,http://www.town.chiyoda.gunma.jp/reiki/reiki_honbun/e269RG00000403.html,2026-08-27
105244,群馬県,大泉町,読めた,,,,,Ⅲa,B1,大泉町要介護認定者の障害者控除対象者認定事務処理要綱,2004-10-26,2004-10-26,https://www1.g-reiki.net/oizumi/reiki_honbun/e270RG00000481.html,2026-08-27
111007,埼玉県,さいたま市,判定ランクを公表していない,,,,,,,,,,https://www.city.saitama.lg.jp/007/007/007/p002688.html,2026-08-27
112241,埼玉県,戸田市,基準表が本文に無い,,,,,,,戸田市要介護度による所得税等の障害者控除等対象者認定書の交付に関する事務処理要領,2003-01-30,2024-03-13,https://www1.g-reiki.net/toda/reiki_honbun/e325RG00001157.html,2026-08-27
112275,埼玉県,朝霞市,読めた(別表から),要支援2,,,,,,朝霞市障害者控除対象者認定取扱要領,2025-03-03,2025-03-03,https://www1.g-reiki.net/asaka/reiki_honbun/b000RG00001110.html,2026-08-27
112291,埼玉県,和光市,読めた,,Ⅲa,B1,,Ⅳ,C1,和光市要介護認定者等に係る障害者控除対象者認定要綱,2011-01-21,2021-10-28,https://www1.g-reiki.net/wako/reiki_honbun/e330RG00000633.html,2026-08-27
112305,埼玉県,新座市,読めた,,Ⅱa,A2,,,B1,新座市要介護認定者等に係る障がい者控除対象者認定要綱,2013-12-24,2013-12-24,https://www1.g-reiki.net/niiza/reiki_honbun/s400RG00001011.html,2026-08-27
112356,埼玉県,富士見市,基準表が本文に無い,,,,,,,富士見市公印規則,1986-09-01,2026-03-31,https://www1.g-reiki.net/fujimi/reiki_honbun/e336RG00000060.html,2026-08-27
112372,埼玉県,三郷市,読めた,,Ⅱa,A1,,Ⅲa,,三郷市障害者控除対象者認定要綱,2018-09-25,2018-09-25,https://www1.g-reiki.net/misato/reiki_honbun/z600RG00001109.html,2026-08-27
112402,埼玉県,幸手市,基準表が本文に無い,,,,,,,幸手市障害者控除対象者認定事務取扱要綱,2011-09-29,2022-07-12,https://www.city.satte.lg.jp/section/reikisyu/reiki_honbun/e341RG00001003.html,2026-08-27
112411,埼玉県,鶴ヶ島市,読めた,,Ⅱa,A1,,Ⅳ,B1,鶴ヶ島市障害者控除対象者認定要綱,2003-01-30,2018-12-25,https://en3-jg.d1-law.com/tsurugashima/d1w_reiki/H415902500249/H415902500249_j.html,2026-08-27
112429,埼玉県,日高市,読めた,,,,要介護1,Ⅳ,B1,日高市要介護認定者に係る障害者認定取扱要領,2019-03-29,2022-12-28,https://en3-jg.d1-law.com/hidaka/d1w_reiki/H431909150329A/H431909150329A_j.html,2026-08-27
113247,埼玉県,三芳町,基準表が本文に無い,,,,,,,三芳町障害者控除対象者認定要綱,2007-12-25,2024-12-27,https://www1.g-reiki.net/saitama-miyoshi/reiki_honbun/e348RG00000795.html,2026-08-27
113417,埼玉県,滑川町,読めた(本文の文章から),,,,要介護4,Ⅳ,J1,滑川町特別障害者に準ずる障害者等の認定に関する要綱,2011-11-11,2025-10-31,https://en3-jg.d1-law.com/namegawa/d1w_reiki/H423902300161/H423902300161_j.html,2026-08-27
113425,埼玉県,嵐山町,読めた,,Ⅲa,,,Ⅳ,B1,嵐山町障害者控除対象者認定に関する要綱,2009-07-01,2009-07-01,https://en3-jg.d1-law.com/ranzan/d1w_reiki/H421902500159/H421902500159_j.html,2026-08-27
113468,埼玉県,川島町,読めた,,,A1,要介護4,,,川島町障害者控除対象者の認定に関する要綱,2010-12-20,2018-03-30,https://www.town.kawajima.saitama.jp/reiki_int/reiki_honbun/e357RG00000584.html,2026-08-27
113476,埼玉県,吉見町,読めた,,Ⅱa,B1,,Ⅳ,,吉見町障害者控除対象者認定要綱,2007-12-25,2016-03-31,https://www1.g-reiki.net/town.yoshimi/reiki_honbun/e358RG00000569.html,2026-08-27
113611,埼玉県,横瀬町,読めた,,Ⅲa,J2,,Ⅳ,A1,横瀬町介護保険制度における障害者控除対象者の認定に関する要綱,2020-10-26,2020-10-26,https://www1.g-reiki.net/yokoze/reiki_honbun/e360RG00000921.html,2026-08-27
113654,埼玉県,小鹿野町,読めた,要介護1,Ⅲa,A1,要介護1,Ⅳ,,小鹿野町介護保険制度における障害者控除対象者の認定に関する要綱,2025-10-29,2025-10-29,https://www.town.ogano.lg.jp/reiki_int/reiki_honbun/r232RG00001372.html,2026-08-27
113832,埼玉県,神川町,読めた(本文の文章から),,,,要介護2,,,神川町介護保険要介護認定者に対する障害者控除対象者に準ずる認定に関する要綱,2006-01-01,2014-09-05,https://en3-jg.d1-law.com/kamikawa/d1w_reiki/H418902200067/H418902200067_j.html,2026-08-27
113859,埼玉県,上里町,読めた(本文の文章から),,,,要介護2,,,上里町介護保険要介護認定者に対する障害者控除対象者に準ずる認定に関する事務取扱要綱,2003-01-28,2014-02-04,http://www.town.kamisato.saitama.jp/d1w_reiki/H415902300007/H415902300007_j.html,2026-08-27
114642,埼玉県,杉戸町,読めた(別表から),,,,要介護1,,,杉戸町要介護（支援）認定者の障害者控除認定基準要領,2007-01-05,2019-09-11,https://www1.g-reiki.net/sugito/reiki_honbun/e391RG00000809.html,2026-08-27
121002,千葉県,千葉市,判定ランクを公表していない,,,,,,,,,,https://www.city.chiba.jp/hokenfukushi/koreishogai/korei/shougaishanintei.html,2026-08-27
122041,千葉県,船橋市,判定ランクを公表していない,,,,,,,,,,https://www.city.funabashi.lg.jp/kenkou/koureisha/002/p001788.html,2026-08-27
122068,千葉県,木更津市,読めた,要介護1,,,要介護3,Ⅲa,C1,木更津市障害者控除対象者認定取扱要綱,2006-12-01,2021-12-13,https://www1.g-reiki.net/city.kisarazu/reiki_honbun/g007RG00001030.html,2026-08-27
122106,千葉県,茂原市,読めた,,Ⅱa,,,Ⅳ,,茂原市障害者控除対象者認定に関する要綱,2022-12-28,2024-12-10,https://www1.g-reiki.net/city.mobara.chiba/reiki_honbun/n800RG00000694.html,2026-08-27
122157,千葉県,旭市,読めた,要介護1,Ⅱa,A1,要介護4,,B1,旭市障害者控除対象者の認定に関する要綱,2021-12-16,2021-12-16,https://www1.g-reiki.net/city.asahi/reiki_honbun/r197RG00001320.html,2026-08-27
122165,千葉県,習志野市,基準表が本文に無い,,,,,,,習志野市決裁規程,1966-08-01,2026-03-31,https://www1.g-reiki.net/narashino/reiki_honbun/l000RG00000056.html,2026-08-27
122181,千葉県,勝浦市,読めた,,Ⅲb,,,M,,勝浦市障害者控除対象者認定に関する規則,2007-11-21,2022-03-28,https://www.city.katsuura.lg.jp/reiki/reiki_int/reiki_honbun/g019RG00000757.html,2026-08-27
122190,千葉県,市原市,読めた,,Ⅲb,,,M,,市原市障害者控除対象者認定に関する規則,2006-12-26,2025-08-06,https://www1.g-reiki.net/city.ichihara.chiba/reiki_honbun/g020RG00000905.html,2026-08-27
122246,千葉県,鎌ケ谷市,読めた,,,A1,,,B1,鎌ケ谷市障害者控除対象者認定取扱要綱,2020-10-20,2020-10-20,https://www1.g-reiki.net/city.kamagaya/reiki_honbun/g025RG00000851.html,2026-08-27
122270,千葉県,浦安市,読めた(文章),,,,,Ⅰ,C1,,,,https://www.city.urayasu.lg.jp/fukushi/koureisha/hoken/1040862.html,2026-08-27
122327,千葉県,白井市,読めた,,Ⅱa,A1,,Ⅲa,B1,白井市障害者控除対象者の認定に関する要綱,2020-07-01,2021-12-28,https://www1.g-reiki.net/shiroi/reiki_honbun/g038RG00000713.html,2026-08-27
122343,千葉県,南房総市,表が読めない,,,,,,,南房総市介護保険制度における障害者控除対象者認定要綱,2010-03-17,2019-01-25,https://www1.g-reiki.net/minamiboso/reiki_honbun/r361RG00000875.html,2026-08-27
122351,千葉県,匝瑳市,読めた,,Ⅱa,A1,,Ⅳ,,匝瑳市障害者控除対象者認定書交付に関する要綱,2007-12-28,2024-11-15,https://www1.g-reiki.net/sosa/reiki_honbun/r325RG00000567.html,2026-08-27
122360,千葉県,香取市,読めた,要介護1,Ⅱa,A1,要介護4,Ⅱa,,香取市要介護認定者に係る障害者控除対象者認定書交付要綱,2007-09-25,2021-12-17,https://www1.g-reiki.net/city.katori/reiki_honbun/u415RG00000599.html,2026-08-27
122378,千葉県,山武市,読めた,,Ⅱa,,,Ⅳ,,山武市障害者控除対象者認定に関する要綱,2007-11-21,2021-08-31,https://www1.g-reiki.net/city.sammu/reiki_honbun/r337RG00000679.html,2026-08-27
123226,千葉県,酒々井町,読めた,,Ⅱa,A1,,Ⅳ,,酒々井町要介護認定者に係る障害者控除対象者認定書交付要綱,2025-09-03,2025-09-03,https://www1.g-reiki.net/shisui/reiki_honbun/g035RG00000699.html,2026-08-27
123293,千葉県,栄町,読めた,,Ⅱa,A1,,Ⅲa,,栄町障害者控除対象者認定書交付要綱,2006-11-30,2006-11-30,http://www.town.sakae.chiba.jp/reiki/reiki_honbun/g040RG00000532.html,2026-08-27
123421,千葉県,神崎町,読めた,,Ⅱa,A1,,Ⅲa,,神崎町障害者控除対象者認定書交付要綱,2007-10-03,2007-10-03,https://www1.g-reiki.net/kozaki/reiki_honbun/g042RG00000354.html,2026-08-27
123471,千葉県,多古町,読めた,,,A1,,,B1,多古町障害者控除対象者認定書交付に関する要綱,2007-01-17,2023-01-18,https://www1.g-reiki.net/town.tako.chiba/reiki_honbun/g047RG00000398.html,2026-08-27
123498,千葉県,東庄町,読めた,要介護1,Ⅱa,A1,要介護4,Ⅱa,,東庄町要介護認定者に係る障害者控除対象者認定書交付要綱,2007-12-28,2017-12-08,https://www1.g-reiki.net/tohnosho/reiki_honbun/g049RG00000489.html,2026-08-27
124109,千葉県,横芝光町,読めた,,Ⅱa,,,Ⅳ,B1,横芝光町障害者控除対象者認定書交付に関する要綱,2007-10-25,2022-12-22,https://www1.g-reiki.net/yokoshibahikari/reiki_honbun/r338RG00000528.html,2026-08-27
124214,千葉県,一宮町,読めた,,Ⅱa,,,Ⅳ,,一宮町障害者控除対象者認定書交付要綱,2006-12-13,2023-09-22,https://www1.g-reiki.net/ichinomiya/reiki_honbun/g062RG00000373.html,2026-08-27
124222,千葉県,睦沢町,読めた,,Ⅱa,,,Ⅳ,,睦沢町障害者控除対象者認定書交付要綱,2006-12-12,2016-03-25,https://www.town.mutsuzawa.chiba.jp/reiki/reiki_honbun/g063RG00000489.html,2026-08-27
124231,千葉県,長生村,読めた,,Ⅱa,,,Ⅳ,,長生村障がい者控除対象者認定書交付要綱,2006-12-01,2016-04-01,https://www1.g-reiki.net/chosei/reiki_honbun/g064RG00000414.html,2026-08-27
124265,千葉県,長柄町,読めた,,Ⅱa,,,Ⅳ,,長柄町障害者控除対象者認定書交付要綱,2006-12-01,2023-03-30,https://www1.g-reiki.net/nagara/reiki_honbun/g066RG00000413.html,2026-08-27
124273,千葉県,長南町,読めた,,Ⅱa,,,Ⅳ,,長南町障害者控除対象者認定書交付要綱,2006-12-14,2014-12-15,https://www1.g-reiki.net/town.chonan.chiba/reiki_honbun/g067RG00000369.html,2026-08-27
124419,千葉県,大多喜町,基準表が本文に無い,,,,,,,大多喜町障害者控除対象者認定規則,2007-02-20,2022-03-30,https://www1.g-reiki.net/otaki/reiki_honbun/g068RG00000568.html,2026-08-27
124630,千葉県,鋸南町,読めた,,Ⅱa,,,Ⅳ,,鋸南町障害者控除対象者認定書交付要綱,2006-10-02,2006-10-02,https://en3-jg.d1-law.com/kyonan/d1w_reiki/H418902500052/H418902500052_j.html,2026-08-27
131024,東京都,中央区,判定ランクを公表していない,,,,,,,,,,https://www.city.chuo.lg.jp/a0029/20241227syogai.html,2026-08-27
131075,東京都,墨田区,読めた,要介護3,Ⅱa,A1,要介護3,Ⅲa,,墨田区障害者控除対象者認定に関する取扱要綱,2021-07-14,2021-07-14,https://www.city.sumida.lg.jp/wkg/reiki_int/reiki_honbun/g108RG00002086.html,2026-08-27
131118,東京都,大田区,読めた(文章),,Ⅱa,A1,,Ⅲa,B1,,,,https://www.city.ota.tokyo.jp/seikatsu/fukushi/kourei/nenkin_zei/youkaigoninteishatounokoujyo.html,2026-08-27
131121,東京都,世田谷区,読めた(表),要介護3,,,要介護3,,,,,,https://www.city.setagaya.lg.jp/02061/221.html,2026-08-27
131148,東京都,中野区,基準表が本文に無い,,,,,,,公印の使用区分について,2009-10-08,2026-03-30,https://www.city.tokyo-nakano.lg.jp/reiki/reiki_honbun/q600RG00001845.html,2026-08-27
131202,東京都,練馬区,基準表が本文に無い,,,,,,,練馬区障害者控除対象者認定実施要綱,2017-03-31,2019-06-28,https://www1.g-reiki.net/nerima/reiki_honbun/a100RG00003087.html,2026-08-27
131211,東京都,足立区,判定ランクを公表していない,,,,,,,,,,https://www.city.adachi.tokyo.jp/s-engo/shougaishakoujo.html,2026-08-27
131229,東京都,葛飾区,基準が読み取れない,,,,,,,,,,https://www.city.katsushika.lg.jp/kenkou/1000051/1002106/1030310/1018285.html,2026-08-27
132012,東京都,八王子市,判定ランクを公表していない,,,,,,,,,,https://www.city.hachioji.tokyo.jp/kurashi/welfare/004/004/001/p003860.html,2026-08-27
132021,東京都,立川市,読めた,,Ⅲa,,,Ⅳ,,立川市高齢者の障害者控除対象者認定事務取扱要綱,2009-01-01,2024-04-01,https://en3-jg.d1-law.com/tachikawa/d1w_reiki/H421902600061/H421902600061_j.html,2026-08-27
132110,東京都,小平市,読めた(本文の文章から),,Ⅲa,B1,,Ⅳ,C1,小平市障害者控除対象者の認定に関する事務取扱要綱,2019-01-01,2021-04-01,http://www.city.kodaira.tokyo.jp/reiki/reiki_honbun/g135RG00001253.html,2026-08-27
132128,東京都,日野市,基準表が本文に無い,,,,,,,介護保険にかかわる障害者控除対象者認定書に関する取扱要綱,2007-01-01,2007-01-01,https://www1.g-reiki.net/hino/reiki_honbun/f900RG00001218.html,2026-08-27
132136,東京都,東村山市,表が読めない,,,,,,,東村山市障害者控除対象者の認定に関する規則,2007-03-07,2016-03-30,https://www1.g-reiki.net/city.higashimurayama/reiki_honbun/f200RG00000852.html,2026-08-27
132144,東京都,国分寺市,表が読めない,,,,,,,国分寺市障害者控除対象者の認定に関する規則,2018-10-29,2021-03-31,https://www.city.kokubunji.tokyo.jp/area/reiki_int/reiki_honbun/c000RG00001874.html,2026-08-27
132217,東京都,清瀬市,表が読めない,,,,,,,清瀬市障害者控除対象者認定書の交付事務取扱要綱,2005-12-28,2023-03-08,https://en3-jg.d1-law.com/kiyose/d1w_reiki/H417902200078/H417902200078_j.html,2026-08-27
132225,東京都,東久留米市,読めた,,Ⅱa,J1,,Ⅲa,,東久留米市介護保険障害者控除対象者認定書交付に関する要綱,2014-11-05,2014-11-05,http://www2.city.higashikurume.lg.jp/reiki_int/reiki_honbun/g146RG00000781.html,2026-08-27
133035,東京都,瑞穂町,読めた,,Ⅱa,A1,,Ⅲa,,瑞穂町障害者控除対象者認定に関する要綱,2008-12-26,2012-03-09,https://www1.g-reiki.net/mizuho/reiki_honbun/g152RG00001147.html,2026-08-27
133051,東京都,日の出町,読めた,要介護1,Ⅱa,A1,要介護1,Ⅲa,,日の出町障害者控除対象者認定に関する要綱,2011-02-03,2011-02-03,https://www1.g-reiki.net/town.hinode/reiki_honbun/g153RG00000965.html,2026-08-27
133639,東京都,新島村,読めた,要介護3,Ⅱa,A1,要介護3,,B1,新島村障害者控除対象者認定要綱,2013-11-13,2013-11-13,http://www.niijima.com/reiki_int/reiki_honbun/g158RG00000427.html,2026-08-27
141003,神奈川県,横浜市,判定ランクを公表していない,,,,,,,,,,https://www.city.yokohama.lg.jp/kenko-iryo-fukushi/fukushi-kaigo/koreisha-kaigo/kaigohoken-igai-service/koukyou-zei/shougaisha-koujo.html,2026-08-27
141305,神奈川県,川崎市,判定ランクを公表していない,,,,,,,,,,https://www.city.kawasaki.jp/templates/outline/350/0000071709.html,2026-08-27
142085,神奈川県,逗子市,読めた,,Ⅱa,A1,,Ⅲa,,逗子市障害者控除対象者認定事務取扱要綱,2020-04-01,2020-04-01,https://www1.g-reiki.net/zushi/reiki_honbun/g210RG00001482.html,2026-08-27
142115,神奈川県,秦野市,読めた,,,A1,,,,秦野市障害者控除対象者認定要綱,2007-01-25,2007-01-25,https://www1.g-reiki.net/city.hadano/reiki_honbun/g213RG00000964.html,2026-08-27
143839,神奈川県,真鶴町,要確認(順序が逆転),要介護4,Ⅳ,B1,要介護1,Ⅲa,A1,所得税及び町県民税における障害者控除対象高齢者認定事務取扱要領,2007-01-15,2007-01-15,https://www1.g-reiki.net/town.manazuru.kanagawa/reiki_honbun/g231RG00000530.html,2026-08-27
151009,新潟県,新潟市,読めた(文章),,,B1,,,,,,,https://www.city.niigata.lg.jp/iryo/kaigo/kaigoindex/zeikojyo.html,2026-08-27
152242,新潟県,佐渡市,基準表が本文に無い,,,,,,,佐渡市老齢者の障害者控除対象者認定実施要綱,2004-03-01,2004-03-01,https://www.city.sado.niigata.jp/reiki_int/reiki_honbun/r028RG00000972.html,2026-08-27
152251,新潟県,魚沼市,表が読めない,,,,,,,魚沼市介護保険の第１号被保険者の要介護（要支援）認定者に係る所得税及び地方税上の障害者控除対象者認定基準要領,2004-11-01,2021-04-01,https://www.city.uonuma.lg.jp/reiki/reiki_honbun/r043RG00000625.html,2026-08-27
152269,新潟県,南魚沼市,読めた,,Ⅱa,,,Ⅲa,,南魚沼市要介護認定者に係る障害者控除対象者認定書交付要綱,2010-03-30,2021-12-28,http://www.city.minamiuonuma.niigata.jp/reiki/reiki_honbun/r044RG00001013.html,2026-08-27
152277,新潟県,胎内市,読めた(本文の文章から),要支援1,Ⅰ,J1,,,,胎内市障害者控除対象者認定実施要綱,2006-01-12,2020-12-24,https://www1.g-reiki.net/tainai/reiki_honbun/r192RG00000800.html,2026-08-27
154610,新潟県,湯沢町,読めた,,Ⅱa,A2,,Ⅲa,,湯沢町要支援及び要介護認定者に係る障害者控除対象者認定書交付要綱,2017-05-10,2017-05-10,https://www1.g-reiki.net/town-yuzawa/reiki_honbun/e469RG00000844.html,2026-08-27
162060,富山県,滑川市,読めた(本文の文章から),,Ⅱa,B1,,,,滑川市障害者控除対象者認定事務取扱要綱,2006-12-28,2021-12-07,https://www1.g-reiki.net/city.namerikawa/reiki_honbun/i007RG00000546.html,2026-08-27
162086,富山県,砺波市,基準表が本文に無い,,,,,,,砺波市障害者控除対象者の認定事務取扱要綱,2006-10-18,2020-12-15,https://www1.g-reiki.net/tonami/reiki_honbun/r067RG00000643.html,2026-08-27
162108,富山県,南砺市,基準表が本文に無い,,,,,,,南砺市障害者控除対象者認定書の交付に関する要綱,2007-12-26,2021-04-01,https://www1.g-reiki.net/nanto/reiki_honbun/r066RG00000984.html,2026-08-27
